file,patterns
2025_dc9a2d54.diff,"NullCheck, Memory, Logic"
2025_dcc9820a.diff,Logic
2025_dd766a44.diff,"NullCheck, Logic"
2025_de9037d0.diff,"NullCheck, Logic"
2025_df335618.diff,Logic
2025_df53fa1c.diff,Logic
2025_e03c9528.diff,"NullCheck, Memory, Logic"
2025_e1c36548.diff,"NullCheck, Logic"
2025_e2ceff13.diff,Logic
2025_e41d954d.diff,"Logic, Assertion, Concurrency"
2025_e4e496e8.diff,"Memory, Logic"
2025_e557c827.diff,"NullCheck, Memory, Logic"
2025_e596e077.diff,"NullCheck, Memory, Logic, Assertion"
2025_e6dfd068.diff,"NullCheck, Logic"
2025_ec4327d1.diff,Logic
2025_ed073617.diff,"Memory, Logic"
2025_eef4a33f.diff,Logic
2025_f011acdd.diff,Logic
2025_f0b7ab72.diff,Logic
2025_f24605e2.diff,"NullCheck, Memory, Logic, Assertion"
2025_f275afc9.diff,"NullCheck, Memory, Logic"
2025_f5234599.diff,Logic
2025_f5a987c0.diff,"NullCheck, Logic"
2025_f8c115a6.diff,"NullCheck, Logic, Concurrency"
2025_fa44b8b7.diff,"NullCheck, Memory, Logic, Assertion"
2025_fb056564.diff,Logic
2025_fc32be3c.diff,"Memory, Logic"
2025_fdda78e3.diff,"Memory, Logic"
2025_fe29b2a1.diff,"NullCheck, Logic"
2025_ff030ebe.diff,"NullCheck, Memory, Logic"
2025_ff0bcb24.diff,Logic
2025_ff1975dd.diff,"NullCheck, Logic"
2025_ff8aba65.diff,Logic
